Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,112155598.4,123134583.7,124482774.2,129379123.8,142025078.8,150574795.3,157930018.4,163820513.7,191767441.7,188039209.9,189106529.2,201450800.2,230317882.8,271183082.2,281398705.9,378660015.8,451152460.8,507298148.3,610578631.2,700764746.9,797048197.1,694803623.9,748312391.3,658679332.6,637820670.6,864849836.8,1122265015,1200991976,1264899288,1233930279,1440711459,1377374988,1411917554,1278781259,851174357.3,1115389674,1007791127,937741512.4,967338390.4,999477458.7,914500332,931833293.8,991387865,1139754772,1270080228,1350300947,1473721548,1698125618,1985370058,1981728141,1986014846,2195599557,2169706564,1544626422,1782927903
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,41093453545,40767969454,41978852041,44657169109,48882938810,53909570342,60358632035,64768831262,70759031842,77887510242,87762273902,99120816003,1.12911E+11,1.31122E+11,1.60164E+11,1.73569E+11,2.06261E+11,2.1129E+11,2.183E+11,2.42702E+11,2.73437E+11,3.05749E+11,3.13453E+11,3.40319E+11,3.53888E+11,3.6296E+11,3.75654E+11,4.29021E+11,5.06018E+11,5.63639E+11,5.92015E+11,6.08259E+11,5.90148E+11,5.74834E+11,5.75999E+11,6.02021E+11,6.2695E+11,6.51001E+11,6.31432E+11,6.74325E+11,7.39456E+11,7.32717E+11,7.52532E+11,8.87752E+11,1.0184E+12,1.16414E+12,1.31075E+12,1.45787E+12,1.54262E+12,1.37084E+12,1.61401E+12,1.7888E+12,1.83272E+12,1.83896E+12,1.78666E+12
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56868E+11,2.43313E+11,2.60668E+11,2.74897E+11,3.11791E+11,3.84755E+11,4.1171E+11,4.09122E+11,4.48947E+11,4.34681E+11,4.30739E+11,4.71907E+11,5.30279E+11,6.34896E+11,7.60722E+11,8.82426E+11,9.98327E+11,1.25755E+12,1.5132E+12,1.27083E+12,1.30385E+12,1.4351E+12,1.3413E+12,1.41817E+12,1.45784E+12
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,9522746719,10712712465,11879982759,13063643796,14480556572,15346741670,16480058705,17740013179,18942729779,20524886616,,,,,,,,,,,1.1871E+11,1.08721E+11,1.11432E+11,1.11036E+11,1.06019E+11,1.07496E+11,1.54096E+11,1.92982E+11,2.08774E+11,2.01573E+11,2.5742E+11,2.6046E+11,2.71134E+11,2.63691E+11,2.91914E+11,3.41759E+11,3.29619E+11,2.86604E+11,2.94978E+11,2.89884E+11,2.7166E+11,2.78629E+11,3.01128E+11,3.51983E+11,3.93542E+11,4.07536E+11,4.29196E+11,4.77408E+11,5.51547E+11,5.39528E+11,5.81212E+11,6.96312E+11,6.66101E+11,6.85434E+11,
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5945677377,6262740657,6439703435,6232906290,6663669065,7332244898,8553643354,8827272727,9676172953,11514605842,,,,,,,
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,4211762522,4705377500,5502763243,5482749434,5794301527,6053790468,7013580346,6913560997,7074820186,8179771226,8981111664,10694569522,11532517864,16387454417,15535549706,7226476865,9857547849,13359145454,15399431310,20729772211,27572307600,32644872980,24339421605,19770402077,19232737055,16486012247,17722536671,20902096532,24640912616,28385038397,31558927517,36424168146,44467946384,47693992627,55154226760,71349202309,75769008174,82808986192,79373597080,72995286764,79328640264,72336972322,70984568429,77840186385,1.00631E+11,1.24404E+11,1.54671E+11,1.73081E+11,1.79627E+11,1.71957E+11,2.17538E+11,2.50832E+11,2.65232E+11,2.76674E+11,2.58062E+11
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,59184116449,49557050149,46685178473,50097303237,59062254850,69709153071,75879434727,72057028513,69993497847,78718820427,91506211248,98562023781,1.1216E+11,1.3677E+11,1.42255E+11,1.61162E+11,1.51628E+11,1.72349E+11,1.48382E+11,1.76857E+11,1.8965E+11,1.94369E+11,2.0355E+11,2.2895E+11,2.58082E+11,3.0748E+11,2.98806E+11,2.7135E+11,3.10722E+11,3.45957E+11,3.58973E+11,3.81455E+11,4.24934E+11,4.42875E+11,5.62261E+11,7.32032E+11,8.60844E+11,9.58159E+11,1.02528E+12,1.08945E+12,1.20526E+12,1.33224E+12,1.46191E+12,1.64992E+12,1.94175E+12,2.26859E+12,2.72978E+12,3.52309E+12,4.55843E+12,5.05942E+12,6.03966E+12,7.49243E+12,8.46162E+12,9.4906E+12,1.03601E+13
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,546203558.5,618245635.1,645284474.6,761047199,921063326.3,919771228,1024102882,1082922726,1281281278,1361360292,1455482795,1584128511,1849400398,2508421426,3070152314,3893839184,4662053820,6265068200,7900526290,9142933956,10175617589,8432589956,7567110856,6838184772,6841639250,6977650648,9158302111,10087654451,10255169812,9757410630,10795850585,10492628588,11152971284,11045760269,8313557515,11000146269,12139234220,11722143261,12612034273,12376639180,10717022848,11192560719,12346919152,15306602195,16554441555,17084927540,17800887469,20343636059,24224905504,24277494338,24884503951,25381617036,27040560686,31292558602,34253611098
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,618740962,657597316.8,699373631.1,723624330.9,782384404,814140009.4,853268764.4,934078958.3,1053076992,1152418382,1160002329,1233991071,1430951432,1758727647,2255496517,2752770609,3076592634,3366368801,4409920571,5811443663,6740757493,7636346057,7322913600,7381853865,7801858401,8148223552,10621157923,12302473329,12493286837,11140057046,11151578703,12434368416,11396311478,13532134752,9220471471,8733230556,9732328761,9840553566,9629649715,10486451907,9287367569,9633109257,10879778328,13621738512,15775356737,16587857509,17953066721,20431780378,23322254114,23381142147,23622483984,26587311528,26472056038,29567504655,32548591286
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,131731862.6,151675739.2,166521239.9,172233430.9,185693724.8,198318063.9,220613582.4,237397428.3,251247458,265040036.1,274960699.9,322128019.3,410669262.9,541973362.5,585364635.3,767102679,754549600.5,765224030.6,878771771.3,1198749666,1705796850,1993512326,2160640567,2097274290,2193581366,2160872541,1849268215,2297753649,2212536313,2389593022,2798746051,2724853508,2933222706,1918970178,1769365439,2116003868,2540697538,2322719101,1949481381,2353909442,3219910666,2794259756,3019993723,3495868725,4648628840,6087002682,7731261311,8394688284,11859014004,9593536531,12007880590,14425607224,13677930124,14085852120,14135462556
